sentiment,review
2,"Vogt og Gjernes har de mest takknemlige rollene , og fyller dem med stort nærvær og mye komisk talent ."
2,"Små , innklippede videosnutter skaper god rytme og nærhet , og fungerer som en enkel , men fiffig tematisk kommentar ."
0,"Filmen flyter ellers litt vimsete hit og dit , i tråd med både typer og vekslende stemningsleier ."
1,"Slik sett har den en indre stringens , også der hvor manus synes å la en tråd henge løs av hensyn til dramaturgien ."
1,"Det skjer idet det oppstår en situasjon hvor en av guttene skal , og bør , dra fra øyen ."
1,"Han venter på en ferge , den viser seg å gå om flere timer ."
1,Guttene disponerer egen båt .
1,Ingen tilbyr seg å skysse ham over .
1,Fergeturen forsvinner i det blå .
1,"Ingen evner å ta grep om noe , ingen makter å si det som må sies ."
0,Filmen borer ikke dypt nok til at det vonde kjennes virkelig vondt .
1,"I stedet for å svi der det skulle svi , tenderer den mer mot å hvile i en tilstand av trykkende taushet ."
1,Er du enig med vår anmelder ?
1,Chris Rea :
1,« The Blue Jukebox »
1,( Edel )
1,Britiske Chris Rea fortsetter å dyrke bluesen sammen med sine franske musikere .
1,Chris Rea fortsetter blues-stilen som han vendte tilbake til på sin forrige plate « Stoney Road » .
1,"Den nye platen , med 13 låter signert Rea , appellerer mer til blues- enn til popfansen ."
2,Best er han i « Baby don't cry » og « Somebody Say Amen » .
2,Disse tre er platens beste sanger .
2,Fin tone i stemmen
1,Natnael « Natti » Asgedom kom inn i finalen som sistemann .
1,Han fremførte « Is This Love » av Bob Marley .
2,"- Det er ingen andre som koser seg så mye som deg , sa Kurt Nilsen og la til at han håper å se Natnael vidre ."
1,VG anmelder Morten Ståle Nilsens dom :
1,Natti setter selv fingeren på problemet :
1,Dette er en så velkjent sang at det er vanskelig å sette et nytt preg på den .
2,"Men han prøver , og kommer nærmest i det andre verset ."
0,"Det første blir forsiktig amatøraften , komplett med ubekveme « moves » ."
1,Teskjekjerringa
0,Mye snodig er nødt til å foregå bak kraniet til Vilde Tuv - et sted det godt kunne vært enklere å få slippe inn .
1,“ Naivt ” og “ drømmende ” er to eldgamle adjektivklisjeer i musikkskribentgloseboka .
1,"Men det bergensbaserte enkvinnesbandet Vilde Tuv - hvor kun hun selv , baritongitar og basstromme står disponibelt - må være det nærmeste man kommer å få høre vuggesanger like håndgripelige som uhåndgripelige ."
1,En del av grunnen ligger riktignok i den visuelle presentasjonen .
1,"For bak sortkledde Tuv står det reist en halvmåneformet vegg , der kaleidoskopiske animasjoner ( signert kunstneren Birk Nygård ) av vindmøller , planeter , galakser og arkaiske symboler roterer “ hypnotisk ” på lag med musikken ."
2,Passende nok flyter tidvis gitarplukking ut i periferien og skaper en subtil ambiens ikke ulikt universet til Seattle-musikeren Grouper .
2,"Barnligheten kommer imidlertid til uttrykk gjennom Tuvs tekster , som trolig vil kunne bli godt mottatt blant nysgjerrige krapyler på Miniøya ."
1,"Der eksempelvis to av låtene er titulert “ Tyngdekraft ” og “ Cellevevet ” , tar en låt for seg at “ det er så mye som blir bedre når man blir stor ” , mens en annen - som visstnok flere andre - handler om den ene av de fem sansene ."
1,“ For det er fem sanser ?
1,Ja .
1,"Mange av sangene handler egentlig om den sansen , ” forklarer hun distré , uten at hun eller strofene svarer på hvilken sans det er snakk om ."
0,"Hodet hennes virker med andre ord å være tusen steder på samme tid , et karaktertrekk man gjerne finner hos medbergenserne Fjorden Baby !-frontmann Sturle Kvilekval eller Christian Stockhaus fra all-nonsense-bandet Ungdomskulen ."
1,Snakker om sola :
2,"Stockhaus og Vilde Tuv har sammen gitt ut en av de kuleste låtene så langt i år , i form av det übersløye elektropopsporet “ Svømmebasseng ” ."
0,Seilende under sitt eget skrudde flagg finnes det enkelte - men ikke nok - hjelpere til å finne veien helt inn i hennes verden .
1,Spillanmeldelse :
1,« Beyond Good & Evil HD »
1,( VG Nett )
2,Ubisoft varter opp med et herlig gjensyn med en skammelig forbigått sjarmbombe av et spill .
1,I 2003 forsøkte Ubisoft å skape en actionheltinne og en spillopplevelse som tilførte dybde i en spillverden og en genre hvor det mer umiddelbart tilfredsstillende dominerte .
1,"« Beyond Good & Evil » hadde en uredd fotojournalist i hovedrollen , og tematikken sneiet innom temaer som politisk undertrykkelse , slaveindustri , krig og revolusjon ."
2,"Pakket inn i en engasjerende sci-fi-historie og givende , « Ratchet & Clank » -lignende spillbarhet ."
1,"Kanskje var det bare uheldige tilfeldigheter , kanskje ble spillet oppfattet som utilgjengelig og arty-farty eller kanskje var det noen år forut for sin tid ."
1,"I så fall er muligens tiden mer moden nå , syv og et halvt år senere ."
2,"Nå slippes spillet i HD-oppusset versjon på Xbox Live Marketplace og Playstation Network , og det er fremdeles snakk om en kruttsterk opplevelse ."
0,"Det er riktignok umulig å ignorere at teknologien har tatt enorme skritt siden den gang , og at endel av designvalgene nå kan fremstå som litt vel gammeldagse ."
0,« Beyond Good & Evil » var utvilsomt mer interessant satt opp mot spillmarkedet anno 2003 .
2,"Men det at det fremdeles er såpass givende , underholdende , engasjerende og spennende tyder på et bunnsolid designfundament ."
2,"Jeg liker dette universet , jeg er glad i Jade , Pey'j og det øvrige rollegalleriet , jeg koser meg med de givende oppdragene , jeg elsker tematikken og spillet i seg selv er veldig underholdende ."
1,Og det er tross alt vel så viktig som spillets spillhistoriske betydning .
1,PS :
1,Ute nå på Xbox Live Marketplace med en prislapp på 800 MS-poeng ( ca . 100 kroner ) .
1,Kommer på PSN i 2. kvartal .
1,BEYOND GOOD & EVIL HD Plattform : 360 Genre :
1,Action / eventyr Alder : 12 Utvikler :
1,Ubisoft Utgiver :
1,Ubisoft
1,Mer info
2,Enestående spill-magi
2,"Avlys alle avtaler og gled deg til nok et magisk , enormt , fantastisk og oppslukende « Zelda » -eventyr ."
2,Det finnes neppe noen mer elskede spillserier enn « Zelda » .
2,Helt siden starten i 1986 har det ene « Zelda » -spillet etter det andre bergtatt eventyrlystne over hele verden .
2,Og det er med stor glede og et fårete glis om munnen jeg kan konstatere at « The Legend of Zelda :
1,Twilight Princess » ikke er noe unntak .
2,"Det er i steden , i mine øyne , det kanskje beste spillet i serien til nå ."
2,Et fantastisk og episk eventyr som sakte men sikkert vokser og vokser helt til hjertet mitt holder på å eksplodere av pur lykke .
1,Historien og oppbyggingen av spillet er velkjent .
1,Det starter særdeles rolig og avslappet i en søvnig og idyllisk liten landsby .
1,"Men en ondskap er i ferd med å spre seg , og truer med å ta over fantasiverdenen spillet foregår i ."
1,"Dermed blir det opp til spilleren , som tar på seg rollen som den utvalgte frelseren Link , å redde både prinsesse Zelda , kongeriket Hyrule , vennene fra landsbyen og til syvende og sist hele verden ."
1,Fra den spede starten legges den ene nye egenskapen og gjenstanden etter den andre til .
2,Stadig nye områder å utforske åpner seg opp .
2,Historien tar plutselige og dramatiske vendinger .
2,"Og før du vet ordet av det , er du fullstendig oppslukt i det som skjer ."
2,Et magisk eventyr på flerfoldige titalls timer ligger foran deg .
2,Det er bare å rydde plass i kalenderen med en gang - inntil « Twilight Princess » er fullført vil du neppe ha lyst til å gjøre noe annet .
2,Alt sitter som et skudd .
2,"Fra den nydelige visuelle stilen til det herlige lydbildet , den nostalgiske musikken , slåssingen mot monstere , utforsking av grotter og andre områder og kreativ bruk av diverse hjelpemidler for å komme videre ."
1,For å nevne noe .
2,Det er i det hele tatt ikke langt mellom gåsehudøyeblikkene i dette spillet .
1,Og det mener jeg bokstavelig .
2,« Twilight Princess » er så bra at jeg får gåsehud bare av å tenke på det - en svært sjelden begivenhet for en som spiller såpass mye som meg .
2,Wii-håndkontrolleren er dessuten utnyttet på en eksemplarisk måte .
1,"Du bruker den til å sikte med pil og bue , til å svinge sverd , til å fiske og til mye annet ."
2,"Etter en tilvenningsperiode på rundt en halvtime , føles det både selvfølgelig og naturlig ."
2,"Nintendos nye spillkonsoll kunne i det hele tatt ikke ha bedt om noe bedre lanseringsspill , selv om Gamecube-eiere muligens ikke vil gå glipp av mye dersom de går for Gamecube-versjonen 15. desember ."
2,For det er nok spillet i seg selv - og ikke Wii-håndkontrolleren - som gjør « The Legend of Zelda :
2,Twilight Princess » til et av tidenes beste konsollspill .
1,Den dypt elskede Zelda-serien får snart et nytt kapittel med Wii-spillet « The Legend of Zelda :
1,Twilight Princess » .
1,Slik blir spillet .
1,Götze :
1,- Skylder kjæresten min mye
1,RIO DE JANIERO / OSLO ( VG ) ( Tyskland - Argentina 1 - 0 ) Mario Götze ( 22 ) kom inn fra benken og gjorde Tyskland til verdensmestere på egen hånd med en fantastisk volley i ekstraomgangene .
1,- Det er utrolig hvordan vi alle har jobbet for dette .
2,"Dette er en utrolig følelse , jublet kaptein Philipp Lahm etter sin første VM-triumf i karrieren ."
1,Avgjørelsen på VM-finalen 2014 falt så sent som i det 112. minutt da innbytter André Schürrles innlegg fra venstresiden fant en annen innbytter inne i Argentina-boksen .
1,"Mario Götze erstattet tidenes mestscorende i VM-historien , Miroslav Klose , etter 88 minutter ."
2,Da innlegget kom svarte Bayern München-spilleren med en scoring på ekte goalgettervis .
1,"Matchvinneren møtte pressen i spillerutstyr og sandaler på pressesenteret i Rio , etter at laget hadde fått summet seg i garderoben ."
2,- Det var en utrolig følelse .
1,"Jeg vet ikke hva som skjedde , jeg bare skjøt ."
2,"Det som skjer etter kampen , å ha denne festen med dette laget , det er en drøm som går i oppfyllelse ."
2,"Jeg vet nesten ikke hva jeg føler , dette er helt sensasjonelt , sa Götze ."
0,- Det har ikke vært et enkelt år for meg og ikke en enkel turnering .
1,"Jeg skylder mye til familien og kjæresten min , som har trodd på meg ."
2,Jeg er veldig glad for at vi har vunnet dette .
2,"Jeg har fortsatt trent med laget , og hver eneste spiller fortjener å bli nevnt ."
2,Vi har fortjent dette trofeet .
1,"Mario Götzes kjæreste er den tyske modellen Ann-Kathrin Brömmel , som blant annet har figurert i spaltene hos den tyske utgaven av herremagasinet GQ."
1,- Beskriver laget
2,"- Måten vi scorer målet på beskriver dette laget , sier Thomas Müller , Tysklands toppscorer i mesterskapet med fem mål ."
1,"- Vi har kjempet så hardt for dette , jeg har ikke ord ."
2,Nå hylles de nybakte VM-vinnerne av tidligere tyske helter .
2,- Et sensasjonelt mål av Götze !
2,Disse ungdommene fortjente å bli verdensmestere .
2,"De er våre verdige etterfølgere , sier Andreas Brehme til den tyske avisen Bild ."
1,Brehme ble matchvinner fra straffemerket sist gang Tyskland vant en VM-finale - mot nettopp Argentina i Italia i 1990
1,Dermed gjorde Tyskland akkurat som de gjorde mot Argentina i VM-finalen i 1990 :
1,De vant 1 - 0 .
1,Den gang etter scoring av Andreas Brehme .
1,"Og i 2014 var det altså unggutten Mario Götze som ble den store helten , til tross for at han ikke har vært fast på det tyske laget de siste VM-kampene ."
1,Det var en relativt nedtonet og lavmælt Argentinsk trener som møtte pressen etter nederlaget i finalen :
1,Kampen hadde sine opp-og-ned-situasjoner .
1,"Vi hadde klare sjanser , sa Alejandro Sabella , for anledningen i skjorte og slips ."
1,Argentina-treneren nevnte også det faktum at Argentina-spillerne hadde flere minutter i beina før kampen .
2,- Vi hadde spilt to ekstraomganger og vi hadde en dag mindre hvile .
2,Generelt er jeg veldig stolt .
2,Guttene har spilt en ekstraordinær VM-turnering .
2,De har lagt igjen alt de har på banen .
1,Sabella tok Argentina nærmere VM-gull enn de har vært på mange år .
1,Allikevel fikk han spørsmål om han sitter trygt i trenerstolen .
1,- Dere må bli lei av at jeg stadig gjentar dette .
1,Jeg kan ikke snakke om fremtiden .
1,"Fremtiden min nå er å være med spillerne , støtteapparatet , familien min ."
1,"Så jeg vet ikke hva jeg skal si , svarte Sabella ."
1,"- Når du kommer til finalen vil du vinne , men jeg sitter også igjen med en følelse av være tilfredsstilt , av å ha gitt alt , avsluttet Sabella før han forlot salen til applaus fra flere av journalistene ."
1,Veteranene gråt
2,Tyskland har hatt et fantastisk mesterskap og de fleste så på « Die Mannschaft » som den store favoritten til VM-gullet etter den vanvittige 7-1-seieren over Brasil i semifinalen .
2,Den spådommen ble ikke gjort til skam .
1,Götze gjorde også at flere av de aldrende Tyskland-spillerne endelig fikk løfte VM-trofeet før karriereslutt .
1,Etter kampen var det blant andre veteranene Bastian Schweinsteiger og Thomas Müller som gråt mest over den enormt etterlengtede triumfen .
1,Argentina klarte aldri å svare på Götzes volley i sluttminuttene .
2,Ekspertene i VGs VM-studio mente perlemålet var en av tidenes vakreste scoringer som har avgjort et VM .
2,- Det er så perfekt utført !
2,"Han legger den perfekt til rette med kassa , og smeller den i lengste hjørne , sier talentspeider Stig Thorbjørnsen ."
1,Dermed kunne både Tyskland-spillerne og den tyske fansen juble for trofeet de har vært nær ved å kapre flere ganger de siste tyve årene .
2,- Det ble tøffere enn forventet .
2,"En åpen kamp , sånn man ønsker at en slik stor finale skal være ."
1,"Det hadde ingen betydning så lenge kreftene holdt , men vi må huske at argentinerne hadde én dag mindre pause og måtte ut i ekstraomganger i semifinalen , sier den tyske legenden Franz Beckenbauer til Bild ."
1,"Mens tyskerne feiret og gråt om hverandre , satte Argentina-stjernen Lionel Messi seg på gresset med hodet mellom knærne ."
1,"Han lyktes ikke med å ta sitt Argentina til VM-gull , som Maradona gjorde i 1986 ."
1,"Real Madrid-stjernen Ángel Di Maria ble ikke klar til søndagens VM-finale , og virker helt sønderknust ute på gressmatta sammen med lagkameratene etter kampslutt ."
2,"Lionel Messi mottok Gullballen , prisen for VMs beste spiller , etter kampslutt , men Argentinas store stjerne rikket ikke på smilebåndet da han gikk opp podiet og mottok prisen fra FIFA-president Sepp Blatter ."
2,"En som derimot smilte fra øret til øret var Tyskland-keeper Manuel Neuer , som både kunne innkassere VM-gullet og Gullhansken , prisen for mesterskapets beste keeper ."
1,Argentina nære
1,"Kampen var målløs helt frem til Götzes matchvinner-scoringen i det 112. minutt , men hadde nok av målsjanser ."
1,Både Argentina og Tyskland gikk ut i hundre i ekstraomgangene foran de 74738 tilskuerne på Maracana stadion .
2,Først stoppet keeper Sergio Romero et André Schürrle-skudd på mesterlig vis fra fem-seks meter .
1,"Deretter beinet Lionel Messi fremover på en kontring , men Argentina-stjernen ble hindret rett før han var på vei gjennom mot mål ."
1,"Messi spilte en stor første omgang , men maktet ikke å finne lukene i det tyske forsvaret i løpet av kampen ."
1,"Innbytter Rodrigo Palacio var svært , svært nær ved å sende Argentina i en forløsende ledelse etter 97 minutter , men Inter-spissens lobb ble altfor upresis i en duell med keeper Manuel Neuer rundt åtte meter fra mål ."
1,Det var det nærmeste noen av lagene kom i den første ekstraomgangen .
1,Higuaíns hode mot Neuers kne
0,"Den andre omgangen bød ikke på fantastisk angrepsspill fra noen av lagene , og det som satte mest støkk i publikum var en stygg episode mellom Gonzalo Higuaín og Manuel Neuer ."
1,Argentina-spissens hode frontkolliderte med kneet til Neuer da han forsøkte å rekke en gjennombruddspasning fra Pablo Zabaleta .
1,"Dommer Nicola Rizzoli dømte frisparket mot Higuáin , som heldigvis kom seg på beina etter smellen ."
0,"- Det er livsfarlig spill av Neuer , sa fotballekspert Bernt Hulsker i VGs VM-studio ."
1,Sammenstøtet preget Higuaín såpass mye at han ble byttet ut etter 77 minutter .
1,"Tyskland hadde overtaket i siste halvdel av den andre omgangen , men maktet ikke å produsere de virkelig store mulighetene ."
2,Enorm Argentina-sjanse
1,"Første omgang var jevnspilt , inneholdt det meste , men heller ikke da kom den forløsende scoringen ."
1,Men det kunne den fort ha gjort .
2,Argentina fikk en vanvittig gratismulighet etter 20 minutter .
1,"Bayern München-spiller Toni Kroos headet en høy ball bakover rundt 25 meter fra mål , muligens i håp om å treffe keeper , men midtbanespilleren endte med å sende den rett i beina på Higuaín ."
1,"Napoli-spissen fosset alene mot mål og avsluttet fra 16 meter , men ballen skled av foten på Higuaín og trillet til venstre side for mål ."
1,Samme mann kom igjen i fokus etter 29 minutter .
2,Argentina-stjernen Lionel Messi flikket ballen elegant ut på høyrekanten til en ledig Ezekiel Lavezzi .
1,Lynvingen svinget ballen inn til Higuaín som avsluttet på direkten og i mål bak Manuel Neuer .
1,"Mens Higuáin jublet hemningsløst og stormet mot Argentina-benken , sto linjedommeren med flagget oppe og vinket for offside ."
1,TV-bildene viste en tydelig skuffet Higuaín og at avgjørelsen var korrekt .
1,Stolpetreff for Tyskland
2,"Tyskland fikk to gode muligheter de siste fem minuttene av omgangen , først ved Toni Kroos ."
0,"Etter 43 minutter fikk Tysklands pasningskonge stå alene å skyte fra rundt 16 meter , men skuddet var unormalt svakt til han å være ."
1,Og på overtid av første omgang traff Tyskland stolpen .
1,"En perfekt corner fra Kroos landet på hodet til en stormende Benedict Höwedes , som stanget ballen i stolpen fra fire-fem meter ."
1,Ballen spratt i beina på en uoppmerksom Thomas Müller før den trillet rolig inn i hendene på Sergio Romero .
1,Overraskelse !
1,Her står et par overraskelser tett som taxi-kø :
2,"Jason Statham har hår og skjegg , og han spiller et svett , psykologisk actiondrama som gjør at han antakelig blir invitert i selskaper hos pologenserne framover ."
2,"Ray Liotta er hypa-paranoisk gangstersjef med en sjelelig og kroppslig nakenhet som nok en gang gjør den ugripelige skuespilleren til et ikon , en kult-ting for folk som samler på pyntegjenstander av isopor og ukrainske boksåpnere ."
1,Overraskelse tre :
